name,calories,fat,proteins,carbohydrate,Meal Type,Carb_Level,Protein_Level,Nutrient_Density
Nasi jagung,0.35346534653465345,0.005,0.05028571428571429,0.12287480680061824,1,High-Carb,High-Protein,0.47574690698268857
Jambu Air,0.04554455445544554,0.0,0.0034285714285714284,0.018238021638330756,4,Low-Carb,Low-Protein,0.4757125766927988
Pisang angleng (pisang ampyang) segar,0.06732673267326733,0.002,0.0074285714285714285,0.02658423493044822,4,High-Carb,Low-Protein,0.47547726750837727
Kembang tahu,0.37623762376237624,0.138,0.2794285714285714,0.03601236476043277,3,High-Carb,High-Protein,0.47161807688588575
Pempek tenggiri,0.1712871287128713,0.012,0.04114285714285714,0.05162287480680061,4,High-Carb,High-Protein,0.47151972852155216
Rambutan,0.06831683168316832,0.001,0.005142857142857143,0.027975270479134468,4,High-Carb,Low-Protein,0.4701280299840759
Ampas kacang hijau,0.09504950495049505,0.006,0.021142857142857144,0.029520865533230294,1,High-Carb,Low-Protein,0.4698946386381592
Taoge kacang kedelai segar,0.07524752475247524,0.026000000000000002,0.05142857142857143,0.009891808346213293,1,Low-Carb,High-Protein,0.4693830196800353
Jagung Putih segar,0.13861386138613863,0.013000000000000001,0.026857142857142857,0.05115919629057187,1,High-Carb,Low-Protein,0.46904306289784525
Jagung Kuning segar,0.13861386138613863,0.013000000000000001,0.026857142857142857,0.05115919629057187,1,High-Carb,Low-Protein,0.46904306289784525
Tales mentah,0.09702970297029703,0.002,0.010857142857142857,0.036630602782071094,2,High-Carb,Low-Protein,0.46879744500190446
Ikan tempahas segar,0.1,0.040999999999999995,0.08628571428571429,0.0015455950540958269,3,Low-Carb,High-Protein,0.46830841031399795
Beras tumbuk mentah,0.3504950495049505,0.004,0.04457142857142857,0.12349304482225658,1,High-Carb,High-Protein,0.4680922185154839
boysenberries frozen,0.06534653465346535,0.003,0.008571428571428572,0.024884080370942814,4,Low-Carb,Low-Protein,0.4660544441940373
boysenberries frozen,0.06534653465346535,0.003,0.008571428571428572,0.024884080370942814,2,Low-Carb,Low-Protein,0.4660544441940373
Ikan Segar,0.11188118811881188,0.045,0.09714285714285714,0.0,3,Low-Carb,High-Protein,0.4660514601974417
Buah Atung,0.02277227722772277,0.002,0.004571428571428572,0.0080370942812983,4,Low-Carb,Low-Protein,0.46583206916801223
Vermicelli,0.3594059405940594,0.004,0.04971428571428571,0.12163833075734158,3,High-Carb,High-Protein,0.46563546100420933
Makaroni,0.3594059405940594,0.004,0.04971428571428571,0.12163833075734158,1,High-Carb,High-Protein,0.46563546100420933
lemon juice,0.053465346534653464,0.006,0.005142857142857143,0.02565687789799073,2,High-Carb,Low-Protein,0.46383822064173147
Kerupuk kemplang panggang,0.35247524752475246,0.011000000000000001,0.055428571428571424,0.1188562596599691,4,High-Carb,High-Protein,0.4632505941469828
Koro Roway biji,0.3405940594059406,0.021,0.07142857142857142,0.1072642967542504,3,High-Carb,High-Protein,0.4629922361700335
Mangga benggala segar,0.062376237623762376,0.004,0.013714285714285714,0.019165378670788255,4,Low-Carb,Low-Protein,0.46298402246130194
Kacang urei kering,0.3504950495049505,0.018000000000000002,0.07314285714285715,0.10710973724884079,1,High-Carb,High-Protein,0.46292274797638266
carrot juice,0.07920792079207921,0.003,0.010857142857142857,0.028748068006182383,2,High-Carb,Low-Protein,0.4621349526957033
Tomat air (juice) segar,0.019801980198019802,0.002,0.005714285714285714,0.005409582689335394,2,Low-Carb,Low-Protein,0.4607320874124516
Pisang Mas,0.12574257425742574,0.002,0.008,0.05193199381761979,4,High-Carb,Low-Protein,0.46071534199449266
water chestnut raw,0.1188118811881188,0.001,0.009714285714285713,0.04590417310664606,2,High-Carb,Low-Protein,0.45970149258861315
Jeruk Manis,0.04455445544554455,0.002,0.005142857142857143,0.01731066460587326,4,Low-Carb,Low-Protein,0.45905762928915844
Pisang Lampung,0.09801980198019802,0.002,0.0074285714285714285,0.03956723338485317,4,High-Carb,Low-Protein,0.4590434265424044
Suweg talas segar,0.07326732673267326,0.001,0.008,0.02658423493044822,1,High-Carb,Low-Protein,0.45837316652506105
Pisang hijau segar,0.11584158415841585,0.003,0.011428571428571429,0.04466769706336939,4,High-Carb,Low-Protein,0.45834844653785656
