name,calories,fat,proteins,carbohydrate,Meal Type,Carb_Level,Protein_Level,Nutrient_Density
Sapi usus segar,0.1247524752475247,0.072,0.08,0.0023183925811437,3,Low-Carb,High-Protein,0.08271026166341963
Usus Sapi,0.1287128712871287,0.072,0.08,0.0023183925811437,3,Low-Carb,High-Protein,0.080165350307318
Ayam goreng paha,0.2841584158415842,0.157,0.1771428571428571,0.0026275115919629,3,Low-Carb,High-Protein,0.08013237452428545
Ampas Tahu,0.4099009900990099,0.183,0.152,0.0638330757341576,3,High-Carb,High-Protein,0.08009982026734475
Sagu sinole,0.3504950495049505,0.083,0.0045714285714285,0.1064914992272024,1,High-Carb,Low-Protein,0.0800663169763759
Bihun Goreng ,0.1524752475247524,0.045,0.0171428571428571,0.0394126738794435,1,High-Carb,Low-Protein,0.07578577784992198
Bubur sagu,0.1653465346534653,0.04,0.0011428571428571,0.0510046367851622,1,High-Carb,Low-Protein,0.07346643512694619
Sate Usus ,0.1254455445544554,0.073,0.08,0.0020092735703245,3,Low-Carb,High-Protein,0.07181763038848513
Pempek kulit,0.2405940594059405,0.073,0.0297142857142857,0.0604327666151468,4,High-Carb,High-Protein,0.07126934514686518
Kacang mekah polong segar,0.0217821782178217,0.01,0.0062857142857142,0.0052550231839258,1,Low-Carb,Low-Protein,0.07073060938276947
Ikan Mujair goreng,0.4118811881188119,0.239,0.268,0.0,3,Low-Carb,High-Protein,0.07040848290248147
Sapi daging kurus segar,0.1722772277227723,0.1,0.112,0.0,3,Low-Carb,High-Protein,0.06965476809588632
Anak sapi daging kurus segar,0.1722772277227723,0.1,0.112,0.0,3,Low-Carb,High-Protein,0.06965476809588632
Ongol-ongol sagu,0.1099009900990099,0.027,0.0017142857142857,0.0327666151468315,1,High-Carb,Low-Protein,0.06806883892073029
Susu Kedelai,0.0405940594059405,0.025,0.02,0.0077279752704791,2,Low-Carb,Low-Protein,0.06719968662196116
Semur Jengkol ,0.1905940594059406,0.06,0.0257142857142857,0.0468315301391035,3,High-Carb,Low-Protein,0.06582445469726679
Beef burger,0.2554455445544554,0.095,0.0605714285714285,0.0502318392581143,3,High-Carb,High-Protein,0.06186526365861218
Lanting getuk,0.4178217821782178,0.108,0.0051428571428571,0.1242658423493044,4,High-Carb,Low-Protein,0.05123870790518514
Ikan Asin gabus goreng,0.4514851485148515,0.244,0.2657142857142857,0.0,3,Low-Carb,High-Protein,0.04809513156874048
