name,calories,fat,proteins,carbohydrate,Meal Type,Carb_Level,Protein_Level,Diet_Category,Nutrient_Density
Kue jahe,0.4207920792079208,0.088,0.0091428571428571,0.1307573415765069,0,High-Carb,Low-Protein,High-Energy,0.1233390026686236
Ubi jalar merah segar,0.1495049504950495,0.003,0.0091428571428571,0.0547140649149922,1,High-Carb,Low-Protein,Low-Fat,0.4070535109561711
boysenberries frozen,0.0653465346534653,0.003,0.0085714285714285,0.0248840803709428,2,Low-Carb,Low-Protein,Low-Carb,0.4660544441940373
Ikan hiu segar,0.0564356435643564,0.003,0.0611428571428571,0.0034003091190108,3,Low-Carb,High-Protein,Keto-Friendly,1.0904823953906542
Kerupuk Sayong ,0.0462376237623762,0.173,0.0988571428571428,0.1256568778979907,4,High-Carb,High-Protein,High-Protein,1.114090700879593
